City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Georgetown,MY,2021-09-22 22:29:15,5.4112,100.3354,78.89,80,20,2.3
147,Frumosu,RO,2021-09-22 22:29:16,47.6167,25.65,42.82,97,100,3.96
148,Angoche,MZ,2021-09-22 22:29:16,-16.2325,39.9086,73.47,77,2,9.28
149,Kampot,KH,2021-09-22 22:29:16,10.6167,104.1833,78.85,84,100,6.89
150,Bengkulu,ID,2021-09-22 22:29:17,-3.8004,102.2655,74.35,93,95,4.88
151,Laguna,US,2021-09-22 22:29:17,38.421,-121.4238,100.2,22,1,3.0
152,Thunder Bay,CA,2021-09-22 22:25:13,48.4001,-89.3168,66.99,55,20,13.8
153,Ngunguru,NZ,2021-09-22 22:29:18,-35.6167,174.5,60.17,93,100,14.74
154,Talcahuano,CL,2021-09-22 22:29:18,-36.7167,-73.1167,55.08,71,0,8.05
155,Ucluelet,CA,2021-09-22 22:27:50,48.9329,-125.5528,74.05,83,95,9.73
156,Saskylakh,RU,2021-09-22 22:29:18,71.9167,114.0833,35.47,98,100,4.18
157,Antalaha,MG,2021-09-22 22:29:19,-14.9003,50.2788,66.72,83,0,6.24
158,Mezhgorye,UA,2021-09-22 22:29:19,44.9667,34.4167,47.8,79,100,4.21
159,Qaqortoq,GL,2021-09-22 22:29:19,60.7167,-46.0333,37.9,92,100,2.59
160,Eirunepe,BR,2021-09-22 22:29:20,-6.6603,-69.8736,84.15,66,96,2.55
161,Carnarvon,AU,2021-09-22 22:28:38,-24.8667,113.6333,66.27,94,41,5.75
162,Kouvaras,GR,2021-09-22 22:29:20,37.8333,23.9667,71.44,64,75,8.05
163,Fortuna,US,2021-09-22 22:29:20,40.5982,-124.1573,91.18,73,1,3.0
164,Koslan,RU,2021-09-22 22:29:21,63.4564,48.8989,37.29,96,28,4.09
165,Feijo,BR,2021-09-22 22:29:21,-8.1642,-70.3536,85.37,59,98,2.57
166,Nara,JP,2021-09-22 22:27:24,34.6851,135.8049,72.72,90,0,4.05
167,Okha,RU,2021-09-22 22:29:22,53.5739,142.9478,49.57,82,53,8.7
168,Komsomolskiy,UZ,2021-09-22 22:29:22,40.4272,71.7189,61.52,48,0,4.61
169,Itoman,JP,2021-09-22 22:29:23,26.1247,127.6694,82.42,78,20,4.61
170,Fare,PF,2021-09-22 22:29:23,-16.7,-151.0167,77.86,71,0,8.25
171,Khash,IR,2021-09-22 22:29:23,28.2211,61.2158,71.29,16,0,2.24
172,Ixtapa,MX,2021-09-22 22:29:24,20.7,-105.2,86.23,84,75,11.5
173,Tiksi,RU,2021-09-22 22:29:24,71.6872,128.8694,35.62,82,99,3.27
174,Launceston,AU,2021-09-22 22:29:24,-41.45,147.1667,55.62,75,90,5.99
175,Manggar,ID,2021-09-22 22:29:25,-2.8833,108.2667,80.56,80,74,10.65
176,Isangel,VU,2021-09-22 22:29:25,-19.55,169.2667,77.11,50,90,0.0
177,Khvoynaya,RU,2021-09-22 22:29:25,58.9,34.5333,40.91,97,100,5.99
178,Jamestown,US,2021-09-22 22:25:39,42.097,-79.2353,72.99,90,90,5.99
179,Dikson,RU,2021-09-22 22:29:26,73.5069,80.5464,35.8,98,100,8.52
180,Toora-Khem,RU,2021-09-22 22:29:26,52.4675,96.11,31.96,63,100,1.16
181,Alamosa,US,2021-09-22 22:29:27,37.4695,-105.87,78.66,11,1,5.75
182,Srandakan,ID,2021-09-22 22:29:27,-7.9386,110.2506,76.08,88,98,5.26
183,Conakry,GN,2021-09-22 22:26:37,9.538,-13.6773,74.35,78,100,8.5
184,Saquena,PE,2021-09-22 22:29:27,-4.6667,-73.5167,74.01,96,100,2.26
185,Saint George,US,2021-09-22 22:24:35,37.1041,-113.5841,94.42,13,1,7.0
186,Pacific Grove,US,2021-09-22 22:29:00,36.6177,-121.9166,91.8,78,1,7.0
187,Mangrol,IN,2021-09-22 22:29:28,21.1167,70.1167,80.73,79,98,11.43
188,La Ronge,CA,2021-09-22 22:29:28,55.1001,-105.2842,61.05,51,90,2.3
189,Cidreira,BR,2021-09-22 22:29:29,-30.1811,-50.2056,62.02,71,10,15.43
190,Pundaguitan,PH,2021-09-22 22:29:29,6.3711,126.1689,81.01,76,46,5.79
191,Luderitz,NA,2021-09-22 22:29:18,-26.6481,15.1594,61.23,59,0,5.79
192,Anyama,CI,2021-09-22 22:29:30,5.4946,-4.0518,76.01,89,100,4.18
193,Long Xuyen,VN,2021-09-22 22:29:30,10.3833,105.4167,75.15,85,100,4.5
194,Robertsport,LR,2021-09-22 22:29:30,6.7533,-11.3686,79.3,82,100,6.08
195,Namatanai,PG,2021-09-22 22:29:31,-3.6667,152.4333,80.56,79,100,6.67
196,Abapo,BO,2021-09-22 22:29:31,-18.8333,-63.4667,81.99,32,76,9.89
197,Jalu,LY,2021-09-22 22:29:31,29.0331,21.5482,85.44,21,0,10.69
198,Victoria,HK,2021-09-22 22:27:33,22.2855,114.1577,85.32,86,60,13.89
199,Muscat,OM,2021-09-22 22:29:32,23.6139,58.5922,87.82,55,9,4.97
200,Bethel,US,2021-09-22 22:29:32,41.3712,-73.414,76.05,85,75,1.01
201,Brae,GB,2021-09-22 22:29:32,60.3964,-1.353,53.51,84,100,23.87
202,Maniitsoq,GL,2021-09-22 22:29:33,65.4167,-52.9,33.82,48,44,10.04
203,Kenai,US,2021-09-22 22:28:15,60.5544,-151.2583,45.09,47,20,12.66
204,Flinders,AU,2021-09-22 22:29:33,-34.5833,150.8552,61.21,74,2,1.01
205,Kahta,TR,2021-09-22 22:29:33,37.7855,38.6237,69.17,42,32,5.7
206,Almansa,ES,2021-09-22 22:29:34,38.8692,-1.0971,60.06,95,98,9.42
207,Makat,KZ,2021-09-22 22:29:34,47.6469,53.3463,64.17,32,100,18.32
208,Bafang,CM,2021-09-22 22:29:34,5.1563,10.1788,63.25,99,100,2.37
209,Upernavik,GL,2021-09-22 22:29:36,72.7868,-56.1549,22.68,63,94,5.17
210,Morondava,MG,2021-09-22 22:29:18,-20.2833,44.2833,72.36,72,4,8.43
211,Cabo San Lucas,MX,2021-09-22 22:25:07,22.8909,-109.9124,89.19,62,20,9.22
212,Sibu,MY,2021-09-22 22:29:37,2.3,111.8167,75.51,94,40,3.44
213,Chippewa Falls,US,2021-09-22 22:29:37,44.9369,-91.3929,70.9,45,1,4.61
214,Belaya Gora,RU,2021-09-22 22:29:37,68.5333,146.4167,34.97,62,77,2.91
215,Hithadhoo,MV,2021-09-22 22:29:38,-0.6,73.0833,82.24,75,100,19.37
216,Berlevag,NO,2021-09-22 22:28:52,70.8578,29.0864,46.02,81,100,30.6
217,Saldanha,ZA,2021-09-22 22:29:38,-33.0117,17.9442,55.45,47,14,5.41
218,Chuy,UY,2021-09-22 22:29:38,-33.6971,-53.4616,54.05,84,96,7.4
219,Kuching,MY,2021-09-22 22:29:39,1.55,110.3333,77.22,94,40,1.14
220,Airai,TL,2021-09-22 22:29:26,-8.9266,125.4092,58.21,48,63,3.4
221,Nyurba,RU,2021-09-22 22:29:39,63.2842,118.3319,35.96,94,96,5.03
222,Rocha,UY,2021-09-22 22:29:39,-34.4833,-54.3333,53.58,78,100,7.29
223,Aykhal,RU,2021-09-22 22:29:40,66.0,111.5,31.3,84,60,6.44
224,Pevek,RU,2021-09-22 22:29:40,69.7008,170.3133,28.72,63,100,7.34
225,Antofagasta,CL,2021-09-22 22:29:40,-23.65,-70.4,58.28,72,83,10.56
226,Trincomalee,LK,2021-09-22 22:29:41,8.5711,81.2335,79.86,82,100,12.24
227,Bubaque,GW,2021-09-22 22:29:41,11.2833,-15.8333,82.26,79,86,9.66
228,Lillooet,CA,2021-09-22 22:29:41,50.6856,-121.942,74.12,46,55,4.12
229,Gombe,NG,2021-09-22 22:29:42,10.2897,11.1673,68.77,95,97,1.92
230,Kortkeros,RU,2021-09-22 22:29:42,61.8106,51.5806,42.8,94,25,3.78
231,Yulara,AU,2021-09-22 22:29:42,-25.2406,130.9889,46.24,39,99,8.05
232,Narsaq,GL,2021-09-22 22:29:24,60.9167,-46.05,37.62,89,100,2.39
233,Palmer,US,2021-09-22 22:29:23,42.1584,-72.3287,74.52,79,75,3.0
234,Ust-Kulom,RU,2021-09-22 22:29:43,61.6864,53.6902,35.69,93,39,2.98
235,Kozhva,RU,2021-09-22 22:29:43,65.1073,57.0459,34.9,94,14,3.13
236,Sola,VU,2021-09-22 22:29:33,-13.8833,167.55,75.87,100,90,0.0
237,Alyangula,AU,2021-09-22 22:29:44,-13.8483,136.4192,75.07,43,11,5.75
238,Faanui,PF,2021-09-22 22:29:44,-16.4833,-151.75,78.08,69,0,7.9
239,Billings,US,2021-09-22 22:27:00,45.7833,-108.5007,88.36,13,40,10.36
240,Oistins,BB,2021-09-22 22:29:44,13.0667,-59.5333,82.49,74,20,11.5
241,Daitari,IN,2021-09-22 22:29:45,21.1,85.75,72.95,96,100,2.91
242,Regina,CA,2021-09-22 22:27:15,50.4501,-104.6178,84.2,19,75,23.02
243,Hamilton,US,2021-09-22 22:29:46,39.1834,-84.5333,57.99,95,90,1.99
244,Egvekinot,RU,2021-09-22 22:29:46,66.3167,-179.1667,24.12,74,100,3.27
245,Kavaratti,IN,2021-09-22 22:29:47,10.5669,72.642,81.5,79,98,17.43
246,Carrollton,US,2021-09-22 22:25:32,32.9537,-96.8903,84.69,25,1,1.01
247,Hami,CN,2021-09-22 22:29:47,42.8,93.45,63.93,23,51,8.12
248,San Quintin,MX,2021-09-22 22:29:47,30.4833,-115.95,81.25,56,1,12.21
249,Okakarara,NA,2021-09-22 22:29:48,-20.5833,17.4333,69.93,15,83,4.25
250,Langxiang,CN,2021-09-22 22:29:48,46.95,128.8833,41.99,94,93,3.13
251,Qeshm,IR,2021-09-22 22:29:48,26.9581,56.2719,85.89,71,0,6.42
252,Cayenne,GF,2021-09-22 22:29:49,4.9333,-52.3333,84.09,80,0,5.01
253,Bantry,IE,2021-09-22 22:29:49,51.6833,-9.45,58.48,97,86,8.01
254,Rolla,US,2021-09-22 22:29:49,37.9514,-91.7713,69.94,42,40,5.99
255,Orangeburg,US,2021-09-22 22:29:50,33.4918,-80.8557,83.95,79,75,0.0
256,Morant Bay,JM,2021-09-22 22:29:50,17.8815,-76.4093,87.42,77,100,5.3
257,Mehriz,IR,2021-09-22 22:29:50,31.5917,54.4318,81.1,16,16,4.92
258,Kargasok,RU,2021-09-22 22:29:51,59.0556,80.8572,32.83,89,100,5.55
259,Salavat,RU,2021-09-22 22:29:51,53.3837,55.9077,48.76,53,99,1.86
260,Cullen,GB,2021-09-22 22:29:51,57.6904,-2.8182,53.24,85,100,10.0
261,Mayumba,GA,2021-09-22 22:29:52,-3.432,10.6554,75.49,85,34,6.67
262,Mount Isa,AU,2021-09-22 22:29:52,-20.7333,139.5,64.17,15,0,12.66
263,Petropavlovsk-Kamchatskiy,RU,2021-09-22 22:29:53,53.0452,158.6483,39.79,81,0,6.71
264,Zhangye,CN,2021-09-22 22:29:53,38.9342,100.4517,62.65,44,24,7.29
265,Esperance,AU,2021-09-22 22:29:53,-33.8667,121.9,55.24,87,0,9.75
266,General Roca,AR,2021-09-22 22:29:53,-39.0333,-67.5833,68.4,23,0,16.87
267,San Cristobal,VE,2021-09-22 22:29:54,7.7669,-72.225,77.18,65,71,4.68
268,Loikaw,MM,2021-09-22 22:29:54,19.6742,97.2094,66.15,97,100,2.62
269,Watsa,CD,2021-09-22 22:29:54,3.0372,29.5355,63.77,97,76,2.46
270,Mujiayingzi,CN,2021-09-22 22:29:55,42.1167,118.7833,51.67,80,0,2.66
271,Tazovskiy,RU,2021-09-22 22:29:55,67.4667,78.7,30.87,84,32,11.86
272,Timizart,DZ,2021-09-22 22:29:55,36.8,4.2667,71.56,65,100,8.86
273,Dali,CN,2021-09-22 22:29:56,25.7,100.1833,60.94,89,96,1.52
274,Diamantino,BR,2021-09-22 22:29:56,-14.4086,-56.4461,91.38,25,5,5.68
275,Pamantingan,PH,2021-09-22 22:29:56,6.7044,124.4589,69.94,95,52,1.54
276,Kahului,US,2021-09-22 22:29:57,20.8947,-156.47,87.82,43,20,23.02
277,Ginir,ET,2021-09-22 22:29:57,7.1333,40.7,64.62,66,93,5.44
278,Kidal,ML,2021-09-22 22:29:58,18.4411,1.4078,97.09,15,79,4.38
279,Port-Cartier,CA,2021-09-22 22:29:58,50.0334,-66.8654,62.92,81,96,2.66
280,Padang,ID,2021-09-22 22:29:59,-0.9492,100.3543,77.61,80,100,4.07
281,Panguna,PG,2021-09-22 22:29:59,-6.3164,155.4848,75.36,76,72,2.98
282,Maswa,TZ,2021-09-22 22:29:59,-2.6833,33.9833,75.45,43,100,6.26
283,Ancud,CL,2021-09-22 22:28:20,-41.8697,-73.8203,53.42,85,99,14.38
284,Timra,SE,2021-09-22 22:30:00,62.487,17.3257,53.67,89,90,8.05
285,Mount Darwin,ZW,2021-09-22 22:30:00,-16.7725,31.5838,61.84,74,4,8.39
286,Taltal,CL,2021-09-22 22:30:00,-25.4,-70.4833,62.71,64,1,7.14
